[ANCHOR_DEBUG] upd=368 n_upd=368 a0_mean=-1.5671 a0_std=0.3710 anchor=0.0865 | adv_BUY=nan adv_SELL=0.0000 adv_HOLD=nan | v_BUY=nan v_SELL=-0.6499 | nB=0 nS=2048 nH=0
[ANCHOR_DEBUG] upd=372 n_upd=372 a0_mean=-1.6190 a0_std=0.3711 anchor=0.0929 | adv_BUY=nan adv_SELL=-0.0000 adv_HOLD=nan | v_BUY=nan v_SELL=-0.7068 | nB=0 nS=2048 nH=0
[ANCHOR_DEBUG] upd=373 n_upd=373 a0_mean=-1.4394 a0_std=0.3712 anchor=0.0734 | adv_BUY=nan adv_SELL=0.0000 adv_HOLD=nan | v_BUY=nan v_SELL=-0.5184 | nB=0 nS=64 nH=0
[ANCHOR_DEBUG] upd=374 n_upd=374 a0_mean=-1.4473 a0_std=0.3712 anchor=0.0742 | adv_BUY=nan adv_SELL=0.0000 adv_HOLD=nan | v_BUY=nan v_SELL=-0.5803 | nB=0 nS=192 nH=0
[ANCHOR_DEBUG] upd=378 n_upd=378 a0_mean=-1.5885 a0_std=0.3712 anchor=0.0893 | adv_BUY=nan adv_SELL=-0.0000 adv_HOLD=nan | v_BUY=nan v_SELL=-0.6735 | nB=0 nS=2048 nH=0
[ANCHOR_DEBUG] upd=382 n_upd=382 a0_mean=-1.6435 a0_std=0.3711 anchor=0.0970 | adv_BUY=nan adv_SELL=-0.0000 adv_HOLD=nan | v_BUY=nan v_SELL=-0.6539 | nB=0 nS=2048 nH=0
[ANCHOR_DEBUG] upd=386 n_upd=386 a0_mean=-1.6991 a0_std=0.3712 anchor=0.1039 | adv_BUY=nan adv_SELL=-0.0000 adv_HOLD=nan | v_BUY=nan v_SELL=-0.6784 | nB=0 nS=2048 nH=0
[ANCHOR_DEBUG] upd=390 n_upd=390 a0_mean=-1.7735 a0_std=0.3712 anchor=0.1116 | adv_BUY=nan adv_SELL=-0.0000 adv_HOLD=nan | v_BUY=nan v_SELL=-0.7077 | nB=0 nS=2048 nH=0
[ANCHOR_DEBUG] upd=394 n_upd=394 a0_mean=-1.8108 a0_std=0.3713 anchor=0.1168 | adv_BUY=nan adv_SELL=0.0000 adv_HOLD=nan | v_BUY=nan v_SELL=-0.7352 | nB=0 nS=2048 nH=0
[ANCHOR_DEBUG] upd=398 n_upd=398 a0_mean=-1.9068 a0_std=0.3713 anchor=0.1283 | adv_BUY=nan adv_SELL=0.0000 adv_HOLD=nan | v_BUY=nan v_SELL=-0.7387 | nB=0 nS=2048 nH=0
