2026-08-18 10:40:30 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=1673 | chunk=0/1 | step_in_chunk=1723 | exec_src=open[t+1] | raw_exec_p=73368.33 | buy_price(+slip)=73383.00 | size=0.000197 | notional=$14.44 | capital_before=$18.78 | cash_after=$4.31 | exposure=76.87% | SL=0.95% TP=1.42% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:40:30,687 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=1673 | chunk=0/1 | step_in_chunk=1723 | exec_src=open[t+1] | raw_exec_p=73368.33 | buy_price(+slip)=73383.00 | size=0.000197 | notional=$14.44 | capital_before=$18.78 | cash_after=$4.31 | exposure=76.87% | SL=0.95% TP=1.42% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:40:33 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=1697 | chunk=0/1 | step_in_chunk=1747 | exec_src=open[t+1] | raw_exec_p=73016.8 | buy_price(+slip)=73031.40 | size=0.000215 | notional=$15.68 | capital_before=$18.67 | cash_after=$2.96 | exposure=83.98% | SL=0.70% TP=1.32% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:40:33,814 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=1697 | chunk=0/1 | step_in_chunk=1747 | exec_src=open[t+1] | raw_exec_p=73016.8 | buy_price(+slip)=73031.40 | size=0.000215 | notional=$15.68 | capital_before=$18.67 | cash_after=$2.96 | exposure=83.98% | SL=0.70% TP=1.32% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:40:35 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=1707 | chunk=0/1 | step_in_chunk=1757 | exec_src=open[t+1] | raw_exec_p=73316.56 | buy_price(+slip)=73331.22 | size=0.000207 | notional=$15.20 | capital_before=$18.50 | cash_after=$3.27 | exposure=82.16% | SL=0.77% TP=1.19% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:40:35,243 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=1707 | chunk=0/1 | step_in_chunk=1757 | exec_src=open[t+1] | raw_exec_p=73316.56 | buy_price(+slip)=73331.22 | size=0.000207 | notional=$15.20 | capital_before=$18.50 | cash_after=$3.27 | exposure=82.16% | SL=0.77% TP=1.19% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:40:39 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=1731 | chunk=0/1 | step_in_chunk=1781 | exec_src=open[t+1] | raw_exec_p=73941.58 | buy_price(+slip)=73956.37 | size=0.000187 | notional=$13.82 | capital_before=$18.59 | cash_after=$4.74 | exposure=74.36% | SL=0.72% TP=1.60% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:40:39,684 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=1731 | chunk=0/1 | step_in_chunk=1781 | exec_src=open[t+1] | raw_exec_p=73941.58 | buy_price(+slip)=73956.37 | size=0.000187 | notional=$13.82 | capital_before=$18.59 | cash_after=$4.74 | exposure=74.36% | SL=0.72% TP=1.60% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:40:43 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=1760 | chunk=0/1 | step_in_chunk=1810 | exec_src=open[t+1] | raw_exec_p=71880.3 | buy_price(+slip)=71894.68 | size=0.000217 | notional=$15.63 | capital_before=$18.43 | cash_after=$2.77 | exposure=84.79% | SL=0.60% TP=1.44% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:40:43,466 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=1760 | chunk=0/1 | step_in_chunk=1810 | exec_src=open[t+1] | raw_exec_p=71880.3 | buy_price(+slip)=71894.68 | size=0.000217 | notional=$15.63 | capital_before=$18.43 | cash_after=$2.77 | exposure=84.79% | SL=0.60% TP=1.44% | tier=Micro Capital | TF=1h | profile=scalper
